S. No.,Mass(g),Position of pointer while,,Mean,Extension(cm)
,,Increasing Mass,Decreasing Mass,l (cm),
1,50,60,60,60,13
2,60,62,62,62,15
3,70,64,64,64,17
4,80,67,67,67,20
5,100,71,71,71,24
6,120,76,76,76,29
7,140,81,81,81,34
8,160,86,86,86,39
9,180,90,90,90,43
10,200,95,95,95,48
,,,,,
,,,,,
S. No.,x(kg),y(m),x^2(kg^2),xy(kgm),
1,0.05,0.13,0.0025,0.0065,
2,0.06,0.15,0.0036,0.009,
3,0.07,0.17,0.0049,0.0119,
4,0.08,0.2,0.0064,0.016,
5,0.1,0.24,0.01,0.024,
6,0.12,0.29,0.0144,0.0348,
7,0.14,0.34,0.0196,0.0476,
8,0.16,0.39,0.0256,0.0624,
9,0.18,0.43,0.0324,0.0774,
10,0.2,0.48,0.04,0.096,
,,,,,
,N,10,,,
,(x^2)_bar,0.01594,,,
,(x_bar)^2,0.013456,,,
,(xy)_bar,0.03856,,,
,x_bar . y_bar,0.032712,,,
,x_bar,0.116,,,
,y_bar,0.282,,,
,,,,,
,,,,,
,Linear Fit,y = a +bx ,,,
,,,,,
,b,2.35426731078905,,,
,a,0.008904991948471,,,
,,,,,
,,,,,
S. No.,x(kg),y(m),y_p,e,e^2
1,0.05,0.13,0.126618357487923,0.003381642512077,1.14355060794865E-05
2,0.06,0.15,0.150161030595813,-0.000161030595813,2.59308527880292E-08
3,0.07,0.17,0.173703703703704,-0.003703703703704,1.371742112483E-05
4,0.08,0.2,0.197246376811594,0.002753623188406,7.58244066372537E-06
5,0.1,0.24,0.244331723027375,-0.004331723027375,1.87638243858932E-05
6,0.12,0.29,0.291417069243156,-0.001417069243156,2.00808523989916E-06
7,0.14,0.34,0.338502415458937,0.001497584541063,2.24275945763062E-06
8,0.16,0.39,0.385587761674718,0.004412238325282,1.94678470390876E-05
9,0.18,0.43,0.432673107890499,-0.002673107890499,7.14550579424721E-06
10,0.2,0.48,0.47975845410628,0.00024154589372,5.83444187730723E-08
,,,,,
,,,,,
,,,,,
,σ_y,1.03059581320451E-05,,,
,σ_a^2,6.81574718973551E-11,,,
,σ_b^2,4.27587653057434E-09,,,
,σ_a,8.25575386608364E-06,,,
,σ_b,6.53901868063882E-05,,,
,,,,,
,Finding g_x,,,,
,g=k1x/m,,,,
,We take mean m ,,,,
,,,,,
,m ,0.116,,,
,X = a + bm,,,,
,x,0.282000000000001,,,
,k1,5.8,,,
,σ_k1,0.000284422343817,,,
,g ,14.1,,,
,,,,,
,(σ_g)^2 = (x/m)(σ_k1)^2 + (k1/m)(σ_x)^2 ,,,,
,(σ_g)^2,7.4362193283324E-07,,,
,,,,,
,σ_g,0.000862335162703,,,
